market_date,period,da_actual,da_pred,rt_actual,rt_pred,spread_actual,spread_pred,spread_probability
2026-06-15,1,433.0,390.2084617614746,361.568,384.63966369628906,-71.43200000000002,-5.568798065185547,0.1331203579902649
2026-06-15,2,400.0,363.08144187927246,349.409,335.141393661499,-50.59100000000001,-27.940048217773438,0.11659612506628036
2026-06-15,3,389.0,341.8499069213867,351.023,306.5326042175293,-37.976999999999975,-35.31730270385742,0.0662873312830925
2026-06-15,4,386.0,344.8071918487549,352.874,293.7905864715576,-33.125999999999976,-51.016605377197266,0.059084370732307434
2026-06-15,5,407.99,357.6049213409424,357.522,317.1437644958496,-50.46800000000002,-40.46115684509277,0.04192810878157616
2026-06-15,6,412.0,375.01302337646484,351.12,297.38963890075684,-60.879999999999995,-77.62338447570801,0.0692940279841423
2026-06-15,7,339.0,295.55059814453125,234.573,174.7709836959839,-104.42699999999999,-120.77961444854736,0.22824203968048096
2026-06-15,8,300.0,245.6443977355957,317.141,106.08544731140137,17.14100000000002,-139.55895042419434,0.3757762610912323
2026-06-15,9,300.0,222.4932746887207,332.297,101.23090553283691,32.297000000000025,-121.26236915588379,0.34254762530326843
2026-06-15,10,267.0,183.50561141967773,299.286,99.49269104003906,32.286,-84.01292037963867,0.40466630458831787
2026-06-15,11,141.03,147.89076042175293,2.327,125.9259147644043,-138.703,-21.964845657348633,0.49533480405807495
2026-06-15,12,58.72,26.72509765625,-80.0,122.31803321838379,-138.72,95.59293556213379,0.6922558546066284
2026-06-15,13,29.0,18.52455711364746,-80.0,139.33833408355713,-109.0,120.81377696990967,0.4995136260986328
2026-06-15,14,72.5,38.450565338134766,-80.0,68.04436874389648,-152.5,29.59380340576172,0.4462473690509796
2026-06-15,15,41.0,54.255130767822266,-80.0,67.73938632011414,-121.0,13.48425555229187,0.5301511883735657
2026-06-15,16,281.5,293.2598342895508,103.351,220.65289974212646,-178.149,-72.60693454742432,0.55267333984375
2026-06-15,17,326.5,293.6027297973633,120.823,246.69670009613037,-205.67700000000002,-46.90602970123291,0.448455810546875
2026-06-15,18,405.5,423.53893852233887,339.291,383.58061838150024,-66.209,-39.95832014083862,0.07386215776205063
2026-06-15,19,449.5,493.1900005340576,346.299,475.894330739975,-103.20100000000002,-17.29566979408264,0.04861924797296524
2026-06-15,20,439.5,490.1263828277588,348.798,461.3977451324463,-90.702,-28.7286376953125,0.05132061243057251
2026-06-15,21,385.54,452.53872299194336,349.427,427.8662736415863,-36.113,-24.672449350357056,0.05277112498879433
