market_date,segment,calibration_mae,bias,weight_rt_from_spread_lightgbm_l1_pred,weight_rt_from_spread_xgboost_l1_pred,weight_rt_from_spread_xgboost_l2_pred,weight_rt_from_spread_extra_trees_pred,weight_rt_from_spread_ridge_pred,weight_rt_direct_lightgbm_l1_pred,weight_rt_direct_xgboost_l1_pred,weight_rt_direct_xgboost_l2_pred,weight_rt_direct_extra_trees_pred
2026-06-15,global,94.1727304228109,11.341663050449768,1.7399098595468674e-14,0.6706594598032631,1.3331465922067806e-13,2.7561591805591562e-14,0.3293405401935471,6.286301635290967e-15,1.4678336721962359e-12,1.5326070365138801e-12,4.6285913066704724e-15
2026-06-15,night,45.89450536425405,28.139697604124535,7.157714061828467e-10,0.48861595561959725,2.76810376253964e-11,0.10135846428718688,0.4100255793493503,5.854755169793472e-19,4.706231603055664e-18,4.1300047119973514e-13,1.6023757384987261e-18
2026-06-15,solar,152.84444897604496,-6.15383171865582,8.64846931944566e-13,0.6638439722185706,7.619455170027388e-13,5.931190783915056e-12,0.33615602773854514,4.721958135625206e-12,9.20494120455588e-12,1.3300617065810323e-11,8.098829237217202e-12
2026-06-15,evening,48.18962096398831,1.1490884041253366,5.202368588852058e-14,0.135956440689942,0.0957031495948359,0.7630750833298185,0.005265326385350718,1.265550159884674e-16,3.292212067572027e-16,2.732687869819779e-16,8.98364827717367e-17
2026-06-16,global,93.74068468992479,0.2528226796789639,0.12018003656405193,0.5434714860480351,4.8023700929607597e-14,3.0338409801663315e-13,0.3363484773874319,1.2239092055494972e-13,3.337402165055074e-15,3.801077625253899e-15,1.1623574481691184e-16
2026-06-16,night,43.563778743077904,8.720299653526297,1.6509479176824918e-15,0.49602599911079,0.08102810699928475,0.08443482780414095,0.3385110660835578,1.4331523464854824e-16,1.306823867169542e-12,7.321886012159807e-14,8.446246735639268e-13
2026-06-16,solar,159.12061446583948,-16.795130879062995,6.389238752316581e-19,0.4682861543736241,7.563155214320224e-19,2.120607094081915e-12,0.5317138456115609,4.733713519642514e-19,1.0720500246123397e-12,7.054415203506188e-12,4.567907017925155e-12
2026-06-16,evening,39.66406108816064,4.675120788988352e-05,0.006307856967745379,0.13322658379844368,0.09568918925645556,0.7607801938420629,0.003996176135020437,4.461858145063587e-14,1.2934775942488624e-13,8.614056755094986e-14,1.1974543052693816e-14
2026-06-17,global,77.25785003315166,-5.343650883508531,0.1794733085565803,0.5911068383079431,1.8982066634966784e-15,5.699085238280586e-15,0.22941985313510516,8.686565186226928e-15,1.6990303505275576e-13,1.8279390331770307e-13,2.4459396794469443e-15
2026-06-17,night,36.58843413376789,10.960753688846182,1.614015183623309e-14,0.52569301905116,0.1943835221452986,0.058764539469440116,0.2211589192772363,5.6487126688351115e-11,1.731824676138709e-13,2.187052615354045e-14,1.666764263244785e-13
2026-06-17,solar,123.51887044137594,-31.109920273697185,0.24279538323317867,0.42060963128782053,3.0510947605043545e-12,4.081840150341701e-14,0.3365949854705795,5.203752415737965e-12,9.4922444187216e-15,7.380617103845006e-14,4.2355036570817927e-14
2026-06-17,evening,34.39692761703444,-3.843211488115827,3.1350428840607144e-14,5.0672465400506485e-14,0.19109693676437742,0.8089030632350191,2.2138955024947338e-14,8.88615932524678e-14,2.392714455156497e-13,1.3761200431879697e-13,3.3445282405741395e-14
2026-06-18,global,74.82992333328282,-9.600632797743856,9.537477048030857e-15,0.6965070793691114,1.6380162465888655e-09,6.071927153829887e-14,1.1601653242633316e-15,0.2991107674345079,6.343344090422178e-14,6.335722957435002e-14,0.004382151558166326
2026-06-18,night,31.286288839293576,2.6577732729805064,5.722182242657101e-14,0.4524639334964582,0.321125468413209,7.262729939118449e-14,4.89232782968373e-14,0.22641059809007436,6.6565888716488705e-15,5.502236804447376e-15,6.741781944819734e-14
2026-06-18,solar,130.5103905410179,-8.227379316647841,4.563374710217187e-14,6.922700223877515e-14,0.02775952727841707,4.0329238139143486e-13,0.3168303019634116,0.6554101707567453,1.803272322099072e-13,4.659546229040199e-13,2.615216619535608e-13
2026-06-18,evening,30.882162983264937,-8.259525538765672,0.0709300642412559,0.3406454080001284,9.143464000338633e-19,0.4079910086843909,9.151749399418094e-14,0.10843172132012698,1.0482053882404789e-15,1.2921204045978642e-14,0.07200179775399226
